"ProbeID","GeneSymbol"
"11737038_at","C19orf38"
"11737237_a_at","EOMES"
"11737412_at","SCML4"
"11737425_x_at","RASGRP4"
"11737428_a_at","MSR1"
"11737504_x_at","SIRPB2"
"11737511_a_at","SP100"
"11737777_at","TNFSF8"
"11737851_a_at","KIAA1949"
"11737866_s_at","ITK"
"11737870_s_at","FAM78A"
"11737921_a_at","C17orf60"
"11737932_x_at","LILRA1"
"11737952_a_at","RALGDS"
"11738124_x_at","SIGLEC10"
"11738168_a_at","BATF3"
"11738360_x_at","PPIAL4G"
"11738475_a_at","PARP15"
"11738516_s_at","ZCCHC6"
"11738523_a_at","NLRP3"
"11738644_a_at","STAMBPL1"
"11738863_a_at","PTPN2"
"11738883_x_at","TNFSF14"
"11738980_a_at","CD4"
"11739005_at","CAPZA1"
"11739032_x_at","ACTR2"
"11739113_a_at","ADPGK"
"11739118_a_at","CNPY3"
"11739148_a_at","SAMHD1"
"11739168_a_at","GIMAP6"
"11739232_x_at","RASSF2"
"11739277_at","SDC3"
"11739334_a_at","PTPRC"
"11739347_a_at","PIP4K2A"
"11739483_a_at","CCDC88A"
"11739521_at","ST8SIA4"
"11739557_a_at","VAMP5"
"11739576_x_at","HPS5"
"11739657_a_at","LTB"
"11739681_x_at","AHR"
"11739720_a_at","GIMAP8"
"11739739_a_at","IL21R"
"11739753_at","SLAMF8"
"11739767_a_at","PTPRE"
"11739796_a_at","RHBDF2"
"11739809_at","TMEM156"
"11739862_a_at","DDX26B"
"11739863_a_at","TTF2"
"11739932_a_at","FAM111B"
"11739968_a_at","ZNF101"
"11740035_a_at","CARD8"
"11740065_at","IL17RA"
"11740080_at","CXorf21"
"11740188_at","ARL11"
"11740212_x_at","PIK3CG"
"11740261_a_at","TXK"
"11740296_a_at","SIRPG"
"11740302_a_at","PARVG"
"11740327_a_at","C14orf145"
"11740375_a_at","RGS10"
"11740393_at","TNFRSF9"
"11740416_at","BRCA2"
"11740429_s_at","XRN1"
"11740444_s_at","ELF1"
"11740451_a_at","KLRD1"
"11740465_at","GPR171"
"11740486_a_at","RUNX3"
"11740531_a_at","CLEC10A"
"11740616_a_at","PARK2"
"11740752_a_at","FOLR2"
"11740814_a_at","ATG7"
"11740871_a_at","MS4A7"
"11740934_a_at","NUSAP1"
"11740961_a_at","CD33"
"11740979_x_at","LCK"
"11740997_a_at","TRAFD1"
"11741015_a_at","CDCA8"
"11741047_a_at","VAV1"
"11741060_a_at","HVCN1"
"11741114_x_at","PDCD4"
"11741153_a_at","NCF2"
"11741190_a_at","P2RY10"
"11741195_x_at","SIGLEC14"
"11741376_a_at","LRP8"
"11741519_s_at","CD14"
"11741555_s_at","LIPA"
"11741617_a_at","GPRIN3"
"11741631_a_at","C3orf58"
"11741666_a_at","LAX1"
"11741768_a_at","VNN2"
"11742022_s_at","IKZF1"
"11742710_a_at","SRGN"
"11742765_at","RGS1"
"11742832_a_at","ASPM"
"11742850_x_at","HLADRA"
"11742859_a_at","PLEK"
"11742890_at","MND1"
"11742911_at","IGSF6"
"11742922_at","LAPTM5"
"11742944_a_at","CORO1A"
"11743007_at","NFKBIE"
"11743008_a_at","ARHGEF1"
"11743064_at","CDC6"
"11743071_a_at","LPAR6"
"11743077_s_at","CEBPB"
"11743166_at","ETV6"
"11743168_at","IDO1"
"11743169_a_at","LPXN"
"11743170_a_at","RCSD1"
"11743196_a_at","TLR4"
"11743290_at","GALNT1"
"11743295_a_at","CENPF"
"11743332_a_at","MRPL35"
"11743475_a_at","ITGAX"
"11743483_a_at","RNASEH2B"
"11743501_a_at","TRAF3"
"11743513_a_at","GINS2"
"11743530_a_at","CENPK"
"11743677_at","P2RY8"
"11743725_s_at","MFSD1"
"11743771_at","GIMAP7"
"11743792_a_at","TTC39C"
"11743813_a_at","EVI2B"
"11743841_at","PLCXD2"
"11743900_at","CIITA"
"11744002_s_at","MTHFD2"
"11744017_at","FERMT3"
"11744034_a_at","VASP"
"11744077_at","ARPC1B"
"11744129_at","MYO9B"
"11744137_a_at","CAMK1D"
"11744153_a_at","RTN1"
"11744162_a_at","DUSP4"
"11744176_at","PPP1R9B"
"11744178_a_at","C19orf66"
"11744180_a_at","TCIRG1"
"11744215_at","RNF149"
"11744263_s_at","RAC2"
"11744274_at","NDC80"
"11744345_x_at","TUBA1B"
"11744351_a_at","LOC728392"
"11744364_s_at","INPP5D"
"11744374_x_at","HLADRB3"
"11744434_a_at","PARP9"
"11744449_a_at","ARHGAP4"
"11744519_a_at","POLE2"
"11744567_a_at","CD72"
"11744600_a_at","KIAA0748"
"11744660_s_at","CCL4L1"
"11744768_a_at","ZBP1"
"11744789_a_at","MLF1IP"
"11744852_a_at","FAM30A"
"11744896_a_at","GPSM3"
"11744920_a_at","ODF3B"
"11745105_a_at","MEI1"
"11745144_a_at","CLEC4E"
"11745165_a_at","TRAF3IP3"
"11745234_a_at","PTPLAD2"
"11745244_x_at","IGH"
"11745422_a_at","FCRL5"
"11745742_s_at","FGD3"
"11745868_a_at","KIF2C"
"11746014_s_at","NCF1"
"11746242_a_at","ARNTL2"
"11746309_a_at","SLC15A3"
"11746961_a_at","HLADMB"
"11747114_a_at","PLK4"
"11747230_a_at","BUB1"
"11747418_a_at","NAPSB"
"11747469_x_at","KDM2B"
"11748120_a_at","LCP2"
"11748126_a_at","TIMP2"
"11748280_a_at","SERPINB1"
"11748817_a_at","SLC9A9"
"11748887_a_at","RING1"
"11749656_a_at","ARHGAP11A"
"11749990_x_at","HLAA"
"11750199_a_at","HCLS1"
"11750232_a_at","GGTA1"
"11750527_s_at","HLADQA1"
"11750598_s_at","TPX2"
"11750723_x_at","MICB"
"11750740_a_at","ST3GAL5"
"11751382_a_at","P2RY12"
"11751841_a_at","TNFRSF17"
"11753034_a_at","ZNFX1"
"11753621_a_at","SNX20"
"11753735_x_at","TMSB4X"
"11753832_x_at","LOC100291682"
"11753936_x_at","TRPM2"
"11753986_a_at","CBLB"
"11754145_x_at","LOC100287723"
"11754175_x_at","LOC100290115"
"11754198_at","C14orf139"
"11754243_a_at","H2AFX"
"11754320_a_at","SMC4"
"11754330_a_at","IRF2"
"11754351_a_at","CYTH1"
"11754360_a_at","RRM2"
"11754370_x_at","SYTL1"
"11754461_s_at","UCP2"
"11754627_s_at","RAB37"
"11754630_a_at","MLKL"
"11754676_a_at","CENPE"
"11754765_s_at","KPNA2"
"11754777_a_at","SH2D2A"
"11754950_a_at","SSR4"
"11755072_a_at","ICAM3"
"11755137_a_at","CCDC109B"
"11755147_s_at","STAT2"
"11755235_a_at","FAR2"
"11755237_a_at","PPM1M"
"11755291_a_at","DENND2D"
"11755382_x_at","IGLV144"
"11755417_a_at","KIAA0922"
"11755564_x_at","CCL3L1"
"11755606_x_at","IFI30"
"11755624_a_at","FAM54A"
"11755646_a_at","SIGLEC1"
"11755717_a_at","DOK2"
"11755743_a_at","LOC643332"
